USER MASTER,,,,,,
Sr. No.,Field Name,Data Type (Arrow),Field Type,Attribute,Field Properties,
1,User id    (Phone number),int 32,Numeric,"Validate Phone no. with SMS.     Check, fPhone no. is aregistered as staff or Patient,  populate ID and name fields",Key field,
2,Password,string,Text,Masked,Mandatory,
3,Role,string,List,"reference from separate role table.  Possible values are Doctor, Consultant, Therapispt, Staff Nurse, Clinic Manager, Assistant Manager, visiting expert, Patient, Administrator, Accountant, Pharmacy manager",Mandatory,
4,Prefix,string,List,Mr. Mrs. Ms. Dr. Prof. Sir. Col.,Reference Field,
5,First Name,string,Text,,Reference Field,
6,Last Name,string,Text,,Reference Field,
,Status ,,,Active / Inactie,,
7,Staff  ID ,string,Text,Populated based on Phone no.  Can be edited,Conditional  reference,
8,Patient  ID ,string,Text,Populated based on Phone no.  Can be edited,Conditional  reference,
STAFF MASTER,,,,,,
Sr. No.,Field Name,Data Type (Arrow),Field Type,Attribute,Field Properties,
1,Staff ID,int 32,Numeric,4 digit running serial number. This is automatically updated based on current record. This is not a user entered field ,Key Field,
2,Role,string,List,"reference from separate role table.  Possible values are Doctor, Consultant, Therapispt, Staff Nurse, Clinic Manager, Assistant Manager, visiting expert,  Administrator, Accountant, Pharmacy manager",Reference Field,
3,Phone Number,int 32,Numeric,"validate phone no. with SMS.  If phone number is registered as user,  populate all relevant fields from user table. ",Mandatory,
4,Whether Empoyee?,bool,Radio Button,"Yes, No",Mandatory,
5,Prefix,string,List,Mr. Mrs. Ms. Dr. Prof. Sir. Col.,Mandatory,
6,First Name,string,Text,,Mandatory,
7,Last Name,string,Text,,Mandatory,
8,E Mail ID,string,Text,Validate Email id,Mandatory,
9,Gender,string,Radio Button,"Male Female Trans gender, Not disclosed",Mandatory,
10,Age,int 32,Numeric,Validation between 0 to 100. derived from date of birth,Derived,
11,D.O.B.,date,Date,not more then current date and age not more than 110 years,Mandatory,
12,Preferred Language,string,List,"English, Hindi, Kannada, Tamil",Mandatory,
13,City,string,List,All major cities of India.  Also provide user to enter if it is not in the list.,Mandatory,
14,Address,Dictionary,Dictionary,3 lines for user entry,Mandatory,
15,PIN CODE,int 32,Numeric,validation for six digits,Mandatory,
16,Blood Group,string,List,"O+ve, AB+ve, O-ve, AB-ve, A+ve, A-ve, B+ve, B-ve",Optional,
17,Marital Status,string,Radio Button,"Married, Single, Not disclosed, ",Mandatory,
18,Date of Joining,date,Date,not more then current date,Mandatory,
20,User ID,string,Text,E Mail id,Conditional Reference,
21,Profile Picture,Picture,Picture,,Optional,
22,Documents,,,"Moe then one document regarding address proof, ID proof education, etc  Datewise storage",Optional,
23,Note,string,Text,,Optional,
PATIENT MASTER,,,,,,
Sr. No.,Field Name,Data Type,Field Type,Attribute,Field Properties,
1,Patient id    (Phone number),int 32,Numeric,10 digit no. preceded by country code. To validate with SMS in case of self registration.  In user based entry SMS based validation is bypassed,Key field,
2,Prefix,string,List,Mr. Mrs. Ms. Dr. Prof. Sir. Col.,Mandatory,
3,First Name,string,Text,,Mandatory,
4,Last Name,string,Text,,Mandatory,
5,Alternate Phone Number,int 32,Numeric,fixed length of 10 digits,Mandatory,
6,Attender name ,string,Text,,Optional,
