,,,,,,,,,,,,,,,,,
Month,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Grand Total,%age,,09.11.2025,01.01.2025
Income Bank,"8,42,207","5,10,172","7,85,014","6,30,454","7,09,660","8,58,367","9,08,188","9,08,174","4,96,069","4,99,778",,,"71,48,083",,Loan pending,Amount,Amount
Income CASH,"2,68,408","1,19,608","1,77,567","1,52,994","1,45,544","1,07,089","4,39,356","3,34,920","3,00,036","2,01,667",,,"22,47,189",,ICICI 949,19081,
Capial Expenditure CASH,,"1,70,000","2,50,000","2,50,000","30,000",,"69,000",,,,,,"7,69,000",,ICIC 207,2427537,
Adjustment entries,,,"13,10,000","5,14,000",,"52,00,000","7,50,000",,,"30,40,000",,,"1,08,14,000",,,2446618,
Capital expneses ,"15,035","1,61,516","1,31,276","1,22,581","3,51,946","1,19,037","50,000","80,000","48,000",,,,"10,79,391",,,,
Clinic expenses,"5,46,768","4,40,076","5,33,648","3,26,278","4,55,958","5,02,990","2,70,102","4,89,903","6,93,200","4,24,798",,,"46,83,720",,,,
Clinic Income,"8,68,352","4,91,756","7,80,964","6,39,514","6,94,975","8,90,610","9,16,000","8,96,340","4,91,089","4,85,709",,,"71,55,309",,,,
Loan interest,"25,464","23,158","22,997","22,607","23,690","22,280","38,612","21,979","18,662","18,916",,,"2,38,365",,,,
Personal Expenses,"1,37,448","2,06,349","21,518","41,367","52,696","1,25,315","80,465","46,459","76,691","1,73,266",,,"9,61,573",,,,
Income,"11,10,615","6,29,780","9,62,581","7,83,448","8,55,204","9,65,456","13,47,544","12,43,094","7,96,105","7,01,445",0,0,"93,95,272",,,,
Expenditure clinic,"5,46,768","4,40,076","5,33,648","3,26,278","4,55,958","5,02,990","2,70,102","4,89,903","6,93,200","4,24,798",0,0,"46,83,720",49.85%,%age of Total Revenu,,
Gross Profit,"5,63,847","1,89,704","4,28,933","4,57,170","3,99,246","4,62,466","10,77,442","7,53,191","1,02,905","2,76,647",0,0,"47,11,552",50.15%,%age of Total Revenu,,
Expenditure Personal,"1,37,448","2,06,349","21,518","41,367","52,696","1,25,315","80,465","46,459","76,691","1,73,266",0,0,"9,61,573",20.41%,%age of total profit,,
Capitl Expenditure,"40,499","3,54,674","4,04,273","3,95,188","4,05,636","1,41,317","1,57,612","1,01,979","66,662","18,916",0,0,"20,86,756",44.29%,%age of total profit,,
Net total,"3,85,901","-3,71,319","3,142","20,615","-59,086","1,95,833","8,39,366","6,04,753","-40,448","84,466",0,0,"16,63,223",35.30%,%age of total profit,,
Bank Net,"1,17,493","-3,20,927","75,575","1,17,621","-1,74,630","88,744","4,69,010","2,69,833","-3,40,484","-1,17,201",0,0,"1,85,034",3.93%,%age of total profit,11%,
CASH Net,"2,68,408","-50,392","-72,433","-97,006","1,15,544","1,07,089","3,70,356","3,34,920","3,00,036","2,01,667",0,0,"14,78,189",31.37%,%age of total profit,89%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.822972302,"77,32,049",,,,
